Business Name,Website,Phone Number,Rating,Reviews,Category,Address
Apollo Health Care Centre - Ghala Industrial Area,http://www.apollohospitalmuscat.com/,+968 24 594050,4.0,15,Medical clinic,"H9H5+H44، شارع غلا, Muscat, Oman"
La Vita Clinic,http://lavitaclinic.com/en/home-english/,+968 9010 5022,4.0,26,Medical clinic,"351 18th November St, Muscat, Oman"
Emirates Medical Center EMC مركز طبي,https://emcoman.com/en/,+968 24 604540,3.4,37,Medical Center,"JF43+J66, Muscat, Oman"
RENE POLYCLINIC,http://renepolyclinic.com/,+968 7252 0000,4.7,111,Medical clinic,"Way 7003, Muscat, Oman"
Burjeel Hospital,http://www.burjeelhospitaloman.com/,+968 24 399777,4.4,"2,489",Hospital,"3521 Way, Muscat, Oman"
Al Athaiba Health Center مركز العذيبة الصحي,http://moh.gov.om/,+968 24 497233,3.5,23,Community health center,"J925+H6J المركز الصحي العذيبة, Muscat, Oman"
Chromatic Eyes Center (Muscat branch),https://chromaticeyes.com/,+968 7711 2474,N/A,N/A,Medical Center,"JF45+83C, Muscat, Oman"
"NMC Specialty Hospital, Ghubra",https://nmcoman.com/hospitals/ghoubra/nmc-specialty-hospital-3/,+968 24 504000,4.2,"1,964",Private hospital,"133 Al Ghubrah St, Muscat 133, Oman"
Zahrat Muscat Dental Clinic,No Website,+968 9788 8716,5.0,113,Dental clinic,"18th November St, Muscat 121, Oman"
Al Ishraq medical center,No Website,N/A,4.2,5,Medical Center,"HCQW+52R, Muscat 115, Oman"
Modern Al Salama Polyclinic Ansab,http://www.alsalamamuscat.com/,+968 7916 6452 ext. 79206452,4.0,142,Hospital,"Muscat, Oman"
Medical City Polyclinic,http://www.mcp-om.com/,+968 22 579701,3.9,62,Specialized hospital,"Al Inshirah St, Muscat, Oman"
Lama Polyclinic LLC Ruwi,https://lamapc.om/,+968 24 799077,4.3,250,Hospital,"P Box :1077 P.C 114, 114, Oman"
Qurum clinic,No Website,+968 24 568632,3.8,23,Medical clinic,"JF4W+929, Muscat, Oman"
Muscat Private Hospital,http://www.muscatprivatehospital.com/,+968 24 583600,4.4,"2,247",Private hospital,"Muscat, Oman"
Mahbobeh Joint and Spine Clinic,No Website,+968 7967 4033,5.0,302,Physical therapy clinic,"Near Alfair Hypermarket, North Azaiba, 18th November St, 112, Oman"
Omanair Airport Clinic,http://omanair.com/,N/A,5.0,2,Medical clinic,"H7PQ+RCP, Muscat, Oman"
New Hope Medical Center- Oman / مركزنيوهوب الطبي للخصوبة والمساعدة على الانجاب في مسقط,http://www.newhope-mc.com/,+968 24 576100,4.5,73,Medical Center,"Muscat-Al Batinah Expy, street 112, Oman"
"Aster Royal Al Raffah Hospital | Best Multispecialty Hospital in Muscat, Oman | أفضل مستشفى في عمان",https://www.aster.om/,+968 24 618900,4.4,"8,026",Hospital,"HCQ4+FP8, 133 Al Ghubrah St, Muscat 133, Oman"
"Aafiyaa Imaging and Diagnostic Center , Aafiyaa Teleradiology",http://www.aafiyaaimaging.com/,+968 24 567166,4.8,32,Medical diagnostic imaging center,"Al Wadi commercial Center, Ground floor, G20, Way 651, Muscat, Oman"
Kaya Skin Clinic - Muscat City Centre,https://www.kayaskinclinic.com/oman/en/,+968 800 77546,4.5,399,Skin care clinic,"Unit No. NG-52, Level 1, City Centre Muscat, Al Seeb، Muscat 121, Oman"
Mutrah Health Center,https://www.moh.gov.om/en/web/directorate-general-health-services-muscat/-/mutrah-health-cent-1,+968 24 711296,4.4,25,Medical Center,"JH87+848, Muscat, Oman"
Al Warda Clinic,No Website,+968 24 832011,4.0,6,Specialized clinic,"HGRV+4VG, Muscat, Oman"
The klinik,No Website,+968 9619 1922,4.6,12,Dermatologist,"Al sarooj, Muscat 142, Oman"
مركز القمة للإستشارات النفسية /The Psychology Clinic / Top Medical Care / مركز القمة للرعاية الطبية,https://topmedicsmuscat.com/,+968 9582 8250,4.4,160,Hospital,"Road No 53, Psychology clinic, Al Khoudh St, Seeb, Oman"
مركز فرح للخدمات الطبية Farah Medical Center,http://www.sultanmedica.com/,+968 24 493737,3.4,26,Medical diagnostic imaging center,"Muscat, Oman"
tehranpolyclinic,No Website,+968 9195 3000,4.0,2,Free clinic,"33 4717 Way, Muscat, Oman"
Imperial Dental Centre Muscat,https://www.instagram.com/imperialdentalclinic.om?igsh=Nmp0MWJ5c2M4Z3Vr,+968 24 797406 ext. 94527277,4.7,27,Dental clinic,"JG3X+XPW، JG3X+XGF way 3233, Muscat, Oman"
MediScan,No Website,+968 9466 9030,4.0,14,MRI center,"Al Bausher Muscat، 112, Oman"
Al Hakeem Medical Center - Dental,No Website,+968 9175 5657,4.3,19,Dentist,"Al Khuwair , between Zakher Mall and Radisson Blue Hotel, Muscat, Oman"
Royal Specialized Medical Centre,No Website,+968 9885 4213,4.6,18,Medical Center,"23.610285, 58.243847 South Mawaleh - Seeb OM, 133, Oman"
EXCELLENT DENTAL CLINIC & ORTHODONTIC CENTRE,https://edcminhaj.com/,+968 9591 6792,4.9,60,Specialized clinic,"CBD AREA، Muscat 112 CBD, 218, Oman"
Al Hadaf Specialty Clinic,No Website,+968 7714 4274,N/A,N/A,Medical clinic,"AlKhuwair Muscat, Oman"
United Clinics العيادات المتحدة,https://www.instagram.com/united_clinics?igsh=dHd1NW1zeWIzdmhr,+968 24 618181,4.7,96,Skin care clinic,"Building no. 2803, Azaiba 18th November Street, Way no. 4845, Muscat, Oman"
عيادة المجد لطب الأسنان AL MAJD DENTAL CLINIC(One of the Best in Ghubra/Bousher/Muscatمن أفضل العيادات في الغبره/بوشر/مسقط),No Website,+968 9915 7979,4.9,478,Dental clinic,"Flat no.101, First Floor P.O. 415, Ghubrah street, South Al Ghubrah Opposite to Sultan Qaboos Stadium مسقط OM، 132, Oman"
"Wassan Specialty Dental Center I Best Dental Clinic in Muscat, Oman I Invisalign, Orthodontic, Implants, Cosmetic Dentistry",https://www.wassandental.com/,+968 9234 7436,4.9,"1,141",Dental clinic,"Muscat 133, Oman"
ALMAHA POLYCLINIC DENTAL CLINIC,https://www.almahapolyclinic.com/,+968 9739 1987,5.0,7,Dental clinic,"OLA BUILDING, AZAIBA SULTANATE OF OMAN POSTAL CODE, 130, Oman"
Al ruwaishia Eye and Dental Clinic,No Website,+968 24 833064,4.2,24,Specialized clinic,"HGPP+JC8, Muscat, Oman"
Better2Know Private Clinic Oman,https://middle-east.better2know.com/clinics/city/muscat,N/A,3.7,3,STD clinic,H9XR+JGH، November St، Oman
Juman Speciality Center مركز جمان التخصصي,https://instagram.com/juman.speciality.center?igshid=MzRlODBiNWFlZA==,+968 9889 7988,4.8,31,Medical clinic,"18th November St, Muscat, Oman"
"Dento Surg, Dental & Implant Center",No Website,+968 9222 4924,4.9,307,Dental clinic,"P floor , no. 78, 184 40 St، Muscat, Oman"
Emarat Al Sharq Dental Clinic,No Website,+968 9330 7432,4.8,24,Dental clinic,"Al Burj St, Muscat, Oman"
عيادات الاطباء الاستشاريين MCC Medical Consultants Clinics,https://www.instagram.com/medicalconsultantsclinics.om?igsh=MTV4aHlwZDJ1cDR5Zg==,+968 9550 7710,4.8,54,Medical Center,"Al Maha St, Muscat, Oman"
Muscat Dental Center مركز مسقط للأسنان,No Website,+968 9138 8029,4.5,26,Dental clinic,"unit 201, Building 397-1, 18th November St, Muscat 130, Oman"
assalam dental clinic عيادة السلام للأسنان,No Website,+968 9905 2633,4.8,35,Dental clinic,"Al Mazoon street شارع المزون Al Mawaleh - muscat الموالح -مسقط OM, 121, Oman"
مزايا لطب الاسنان,No Website,+968 7744 6646,4.7,54,Medical clinic,"18 November street Aloudiba OM, 123, Oman"
Smile Dental Clinic | Best Dental Clinic | Muscat,https://smiledentalclinicoman.com/,+968 24 499698,4.5,81,Dental clinic,"Muscat, Oman"
Afnan Dental Clinic,No Website,+968 24 797303,4.5,15,Dental clinic,"Muscat, Oman"
Mariam Medical Clinic,No Website,N/A,4.5,2,Medical clinic,"HFX3+QQV, Muscat, Oman"
Mazaya Specialized Dental Center,https://www.drnabilareza.com/,+968 9113 8128,4.9,31,Dental clinic,"18th November St, Muscat, Oman"
Mazoon Dental Clinic عيادة مزون لطب الأسنان,https://instagram.com/mazoon.dentistry,+968 7974 3202,4.8,99,Dental clinic,"542 Mazoon street Alkhodh Seeb, Muscat, Oman"
Beautiful Mind Clinic,http://beautifulmindoman.com/,+968 9130 2313,4.5,55,Psychiatrist,"بناية واحة القرم, Sayh Al Malih St, Muscat, Oman"
"Neena Shinas Dental Clinic | Best Dental Clinic in Muscat, Oman I Invisalign, Orthodontic, Implants, Cosmetic Dentistry",https://shinasdental.com/,+968 9901 3372,4.8,82,Hospital,"Muscat, Oman"
Traditional Omani Medical Center,https://instagram.com/rawaq.official1?igshid=MzRlODBiNWFlZA==,+968 9110 0584,4.3,54,Medical Center,"HCMG+X3 Mishkak Village، بالقرب من, Muscat, Oman"
Mamoorah Royal Dental- Best dental clinic in Muscat عيادة معمورة رويال لطب الأسنان,https://www.drosamashaalan.com/,+968 9955 6110,5.0,77,Dental clinic,"J7C5+2HJ, Al Mauj St, Seeb, Oman"
"Hayy As Saruj, Muscat, Oman",No Website,N/A,N/A,N/A,Medical clinic,"JC2W+HGG, Muscat, Oman"
"Sandiane, dermatology clinic in oman, best skin, laser Centre muscat مركز سنديان للأمراض الجلدية",No Website,+968 22 544425,3.9,25,Dermatologist,"48 Way, Muscat, Oman"
Medstar Clinic Al Azaiba,https://www.facebook.com/Medstarmuscat/,+968 7751 4558,5.0,6,Health consultant,"Muscat, Oman"
Cosmeclic,http://cosmeclic.care/,+968 9924 4099,4.2,36,Dermatologist,"Villa 1303, Way 3017, Al Kharijyah St, Muscat 114, Oman"
Chinese Medicine Clinic,No Website,N/A,N/A,N/A,Medical clinic,"H9M2+MQV, Muscat, Oman"
"CARE-24 Rehabilitation center Physiotherapy, Occupational therapy مركز تأهيل كير-24 العلاج الطبيعي، العلاج الوظيفي",http://alhakkim.com/,+968 9321 1417,4.5,28,Physical rehabilitation center,"Majan 1 Buliding, Muscat 130, Oman"
